CaseName,NetworkFeasible,AverageACLoss_kW,AverageMaxVoltageDeviation_kV,MinVoltage_pu,MaxVoltage_pu
All devices,1,11.9063173763315,0.191183677126593,0.971693097584114,1.00461889877478
All reactive devices disabled,1,11.4177615113448,0.250367066601646,0.963993786630058,1.00023761851647
Without WT rectifier,1,11.220375715422,0.240535571171081,0.970134948085473,1.00122038000587
Without CB,1,11.9091101094788,0.191083890346033,0.97173880786626,1.0045148462429
Without OLTC,1,11.9407099624979,0.190668515995139,0.971751623707164,1.00465733691314
Without SVG,1,11.9446062546283,0.191126427248352,0.971692761773678,1.00461532933307
Without PV inverter,1,11.8672405875584,0.19155673184121,0.971628053638366,1.00460944445864
