VariableMu,GECPrice_CNY_per_kWh,AverageACLoss_kW,AverageVoltageDeviation_kV,RenewablePenetration_pct,TotalReactiveSupport_kvarh,MinVoltage_pu,MaxVoltage_pu,EMOProfit_CNY,REOProfit_CNY,Feasible,RejectReason
0,0.05,11.5014357738895,0.208759741615675,53.0549462667769,8.46113556729478e-06,0.969465852094906,1.00955214183418,4052.55546624232,5740.24983250156,1,
0,0.08,11.5014357738895,0.208759741615675,53.0549462667769,8.46113556729478e-06,0.969465852094906,1.00955214183418,4151.38638668348,5740.24983250156,1,
0,0.12,11.5014357738895,0.208759741615675,53.0549462667769,8.46113556729478e-06,0.969465852094906,1.00955214183418,4283.16094727169,5740.24983250156,1,
0,0.18,11.5014357738895,0.208759741615675,53.0549462667769,8.46113556729478e-06,0.969465852094906,1.00955214183418,4480.822788154,5740.24983250156,1,
0,0.3,11.5014357738895,0.208759741615675,53.0549462667769,8.46113556729478e-06,0.969465852094906,1.00955214183418,4876.14646991863,5740.24983250156,1,
0.02,0.05,11.2981964859024,0.207813037776364,53.0549289669271,408.167419162122,0.969630582517989,1.00985484369902,3654.44956410632,5849.33890661488,1,
0.02,0.08,11.062515813678,0.206628693108147,53.054946314239,916.420649036127,0.969309532595912,1.01022622098288,2707.0481753995,6268.24984653227,1,
0.02,0.12,10.7926573274959,0.20564440224484,53.0549466912861,1528.20646437998,0.969234382418744,1.01050411680678,651.731765381985,7315.52271841592,1,
0.02,0.18,10.4246982000639,0.203663572144865,53.0549045893774,2456.57463589489,0.969020012745221,1.01050138078432,-4306.1118786745,9933.70007345793,1,
0.02,0.3,9.83534544695652,0.200357969583508,53.0548042651711,4084.97528252296,0.968657245020652,1.01048586332655,-19540.870604917,18940.2348394166,1,
0.04,0.05,10.9311194003036,0.206174362844643,53.0549445950959,1214.21629883994,0.969254775366052,1.01030191468238,1652.91653795299,6722.06799766005,1,
0.04,0.08,10.5430010912155,0.204512957848482,53.0549195481946,2160.5797360743,0.969045483336668,1.01075436597054,-2712.78181029326,8921.33812544566,1,
0.04,0.12,10.1150018504484,0.201937379342747,53.054822392213,3358.01554090844,0.96883705980726,1.01050647345518,-11760.3586696958,13808.6007195043,1,
0.04,0.18,9.6051553631595,0.198431951811506,53.054807719706,4759.70467338649,0.968687197512671,1.01047676331029,-29680.3473557711,25328.5987986939,1,
0.04,0.3,8.98353267418244,0.192472261017331,53.0546766821921,6588.45176815287,0.96894963645723,1.0105330697023,-74023.9767188517,63449.3124379895,1,
0.07,0.05,10.4516695430664,0.203858529821769,53.0548747896583,2419.04033812378,0.969031864726722,1.01053284624209,-4358.98062807813,9667.51496807218,1,
0.07,0.08,9.9186279011612,0.201029118420817,53.0549291074893,3850.73365753744,0.968723416098802,1.01050873536465,-17325.4943113291,17090.0660136148,1,
0.07,0.12,9.40719036269089,0.19675687762412,53.0547883096461,5316.23153620623,0.968895412910055,1.01048760925201,-40249.9196200879,32973.6879414452,1,
0.07,0.18,8.93246241578955,0.191095434045731,53.0549118058956,6705.19373542675,0.969433587444712,1.01052789480104,-79837.239121211,69628.2455634014,1,
0.07,0.3,8.70500357058696,0.183213076868808,52.4934226670455,8463.91728256843,0.969991528611487,1.01075476068355,-172726.526422211,189044.559058721,1,
0.1,0.05,10.0542911992444,0.201906495029961,53.0549420116526,3462.0384725073,0.968827092940127,1.0107596461963,-13179.3079081286,14576.6132653792,1,
0.1,0.08,9.46307349260623,0.197528199141921,53.0545222532492,5176.60686026512,0.968828842675411,1.01053312672113,-37142.6936223597,30285.6593805779,1,
0.1,0.12,8.98353267418244,0.192472261017331,53.0546766821921,6588.45176815287,0.96894963645723,1.0105330697023,-74616.9565434034,63449.3124379895,1,
0.1,0.18,8.74946946842466,0.185233659067947,53.0515905710993,7975.33408697362,0.969527568461284,1.01054747340016,-138870.136915783,139375.909137242,1,
0.1,0.3,8.82751841091398,0.178234361056015,45.5718532513402,9839.3769776229,0.971305144943965,1.01067024060096,-291119.815466519,384450.023244513,1,
