Strategy,EMOProfit_CNY,DeviationGain_CNY,UserProfit_CNY,RenewablePenetration_pct,AverageACLoss_kW,MinVoltage_pu,MaxVoltage_pu,Feasible,RejectReason
Baseline Case 8,4046.24628318662,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966,1,Accepted
TOU price +5%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,PriceScale 1.155000000 > UB 1.100000000
TOU price -5%,3032.17521957141,-1014.07106361521,7743.97069537038,52.6290180509337,11.7509951452013,0.96654879449819,1.00895510587783,1,Accepted
GCC reward +5%,4040.34620318661,-5.90008000000125,6764.63174039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966,1,Accepted
GCC reward -5%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,GCCScale 0.475000000 < LB 0.500000000
mu +5%,4046.24628318662,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966,1,Accepted but no effective parameter change (baseline scale is zero)
mu -5%,4046.24628318662,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966,1,Accepted but no effective parameter change (baseline scale is zero)
