mu,GEC_050_CNY_per_MWh,GEC_080_CNY_per_MWh,GEC_120_CNY_per_MWh,GEC_180_CNY_per_MWh,GEC_300_CNY_per_MWh
0,0.208759741615675,0.208759741615675,0.208759741615675,0.208759741615675,0.208759741615675
0.02,0.207813037776364,0.206628693108147,0.20564440224484,0.203663572144865,0.200357969583508
0.04,0.206174362844643,0.204512957848482,0.201937379342747,0.198431951811506,0.192472261017331
0.07,0.203858529821769,0.201029118420817,0.19675687762412,0.191095434045731,0.183213076868808
0.1,0.201906495029961,0.197528199141921,0.192472261017331,0.185233659067947,0.178234361056015
