Np,Imax,Runs,Best_E_EMO_CNY,Mean_E_EMO_CNY,Std_Dev,Avg_CPU_Time_s,Avg_Stop_Iter
30,100,20,185895.847371055,111105.847371055,48011.9491705752,0.238010765,19.7
50,100,20,185895.847371055,139485.847371055,31882.5789751278,0.37623292,19.15
80,100,20,185895.847371055,152925.886701044,28146.7962078979,0.61055687,18.9
50,60,20,185895.847371055,139485.847371055,34403.7008413186,0.393557225,18.95
50,150,20,185895.847371055,139485.847371055,31882.5789751278,0.37231069,19.15
