mu,GEC_050_CNY_per_MWh,GEC_080_CNY_per_MWh,GEC_120_CNY_per_MWh,GEC_180_CNY_per_MWh,GEC_300_CNY_per_MWh
0,11.5014357738895,11.5014357738895,11.5014357738895,11.5014357738895,11.5014357738895
0.02,11.2981964859024,11.062515813678,10.7926573274959,10.4246982000639,9.83534544695652
0.04,10.9311194003036,10.5430010912155,10.1150018504484,9.6051553631595,8.98353267418244
0.07,10.4516695430664,9.9186279011612,9.40719036269089,8.93246241578955,8.70500357058696
0.1,10.0542911992444,9.46307349260623,8.98353267418244,8.74946946842466,8.82751841091398
